tab	rmag_results
er_specimen_names	er_sample_name	er_site_name	anisotropy_type	magic_method_codes	magic_experiment_names	result_description	anisotropy_t1	anisotropy_t2	anisotropy_t3	anisotropy_ftest	anisotropy_ftest12	anisotropy_ftest23	anisotropy_v1_dec	anisotropy_v1_inc	anisotropy_v2_dec	anisotropy_v2_inc	anisotropy_v3_dec	anisotropy_v3_inc
su110701b	su110701	su1l403	ATRM	LP-AN-TRM:AE-H	su110701b:ATRM	Critical F: 3.1059	0.390455	0.379040	0.230505	71.915660	0.735403	124.536483	263.4	13.9	359.8	24.5	146.4	61.4
su110701e	su110701	su1l403	ATRM	LP-AN-TRM:AE-H	su110701e:ATRM	Critical F: 3.1059	0.398369	0.337520	0.264111	28.711357	14.701113	21.397312	122.8	-17.3	85.6	68.7	209.0	12.1
su109102a	su109102	su1l200	ATRM	LP-AN-TRM:AE-H	su109102a:ATRM	Critical F: 3.1059	0.347567	0.327563	0.324871	1.179704	1.918805	0.034755	23.9	-41.0	2.2	47.0	104.2	11.0
su109102b	su109102	su1l200	ATRM	LP-AN-TRM:AE-H	su109102b:ATRM	Critical F: 3.1059	0.345210	0.334039	0.320751	0.633706	0.329645	0.466434	56.9	53.4	158.7	8.6	74.8	-35.2
su103201b	su103201	su1l506	ATRM	LP-AN-TRM:AE-H	su103201b:ATRM	Critical F: 3.1059	0.407957	0.394651	0.197392	188.437299	1.499811	329.586738	162.9	-39.1	118.4	41.3	231.6	24.1
su103201c	su103201	su1l506	ATRM	LP-AN-TRM:AE-H	su103201c:ATRM	Critical F: 3.1059	0.403263	0.387607	0.209130	47.444660	0.624852	81.210295	80.8	59.3	40.5	-24.4	138.7	-17.5
su103201e	su103201	su1l506	AARM	LP-AN-ARM:AE-H	su103201e:AARM	Critical F: 2.6848	0.344227	0.334095	0.321678	0.582556	0.292987	0.440123	139.6	52.1	226.0	-2.8	313.8	37.7
su101001f	su101001	su1l003	ATRM	LP-AN-TRM:AE-H	su101001f:ATRM	Critical F: 3.1059	0.422577	0.409692	0.167732	108.623224	0.546894	192.851816	62.0	-51.9	101.7	31.1	179.2	-19.8
su110301d	su110301	su1l300	ATRM	LP-AN-TRM:AE-H	su110301d:ATRM	Critical F: 3.1059	0.344896	0.337716	0.317387	2.340153	0.370333	2.968893	205.5	-57.2	259.1	21.0	339.2	-24.1
su110301f	su110301	su1l300	ATRM	LP-AN-TRM:AE-H	su110301f:ATRM	Critical F: 3.1059	0.364971	0.337560	0.297469	6.326662	2.577899	5.514202	263.5	23.2	17.2	43.1	153.9	37.9
su101001c	su101001	su1l003	ATRM	LP-AN-TRM:AE-H	su101001c:ATRM	Critical F: 3.1059	0.437908	0.412537	0.149555	214.195664	3.380509	363.196204	38.7	-44.4	69.5	41.3	144.9	-16.0
su110301b	su110301	su1l300	ATRM	LP-AN-TRM:AE-H	su110301b:ATRM	Critical F: 3.1059	0.342346	0.334582	0.323072	1.266952	0.507606	1.115270	21.1	-34.7	336.2	45.6	93.2	24.0
su110301e	su110301	su1l300	ATRM	LP-AN-TRM:AE-H	su110301e:ATRM	Critical F: 3.1059	0.391608	0.360295	0.248097	20.463689	2.202357	28.275693	266.7	40.7	31.5	33.5	145.2	31.3
su105301f	su105301	su1l501	ATRM	LP-AN-TRM:AE-H	su105301f:ATRM	Critical F: 3.1059	0.392620	0.388731	0.218649	190.302172	0.182343	348.660614	159.5	15.2	52.8	46.7	262.4	39.3
su105301f	su105301	su1l501	AARM	LP-AN-ARM:AE-H	su105301f:AARM	Critical F: 2.6848	0.376772	0.361510	0.261718	9.628133	0.358993	15.346566	101.5	49.5	181.0	-8.9	263.7	39.1
su100902i	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902i:ATRM	Critical F: 3.1059	0.428415	0.313336	0.258249	133.330264	146.381413	33.542148	248.2	37.7	117.8	40.0	181.9	-27.5
su100902h	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902h:ATRM	Critical F: 3.1059	0.414257	0.379205	0.206538	3.526849	0.219027	5.314858	29.8	-35.5	93.9	31.4	154.6	-38.7
su100601a	su100601	su1l003	ATRM	LP-AN-TRM:AE-H	su100601a:ATRM	Critical F: 3.1059	0.375234	0.333197	0.291569	16.518263	10.424980	10.223294	231.0	-43.0	227.9	47.0	139.6	-1.5
su105301g	su105301	su1l501	ATRM	LP-AN-TRM:AE-H	su105301g:ATRM	Critical F: 3.1059	0.389429	0.366717	0.243854	78.037327	4.101802	120.029510	6.7	29.2	262.0	24.4	139.0	50.3
su105301g	su105301	su1l501	AARM	LP-AN-ARM:AE-H	su105301g:AARM	Critical F: 2.6848	0.376639	0.355830	0.267532	7.571859	0.610675	10.995312	27.7	14.1	288.6	32.3	138.0	54.1
su100601c	su100601	su1l003	ATRM	LP-AN-TRM:AE-H	su100601c:ATRM	Critical F: 3.1059	0.352508	0.344548	0.302944	3.298736	0.184382	5.037114	240.1	44.0	325.5	-4.8	50.6	45.6
su100601g	su100601	su1l003	ATRM	LP-AN-TRM:AE-H	su100601g:ATRM	Critical F: 3.1059	0.365123	0.341549	0.293328	8.664589	2.247079	9.402393	317.3	42.1	233.4	-6.8	330.7	-47.1
su100601f	su100601	su1l003	AARM	LP-AN-ARM:AE-H	su100601f:AARM	Critical F: 2.6848	0.344035	0.333720	0.322245	0.539232	0.301874	0.373491	8.4	-9.6	83.5	56.7	284.4	31.5
su110801a	su110801	su1l403	ATRM	LP-AN-TRM:AE-H	su110801a:ATRM	Critical F: 3.1059	0.388634	0.344752	0.266614	18.470320	5.819072	18.450883	349.1	33.6	39.1	-44.1	279.2	-27.3
su110801b	su110801	su1l403	ATRM	LP-AN-TRM:AE-H	su110801b:ATRM	Critical F: 3.1059	0.365634	0.340608	0.293758	8.037835	2.363477	8.282929	340.9	-16.1	23.4	68.6	74.9	-13.7
su110801c	su110801	su1l403	ATRM	LP-AN-TRM:AE-H	su110801c:ATRM	Critical F: 3.1059	0.409608	0.316686	0.273706	28.289305	31.639173	6.768679	63.9	19.3	331.7	6.3	224.3	69.6
su105301c	su105301	su1l501	ATRM	LP-AN-TRM:AE-H	su105301c:ATRM	Critical F: 3.1059	0.389138	0.339912	0.270949	37.633905	16.170850	31.738098	234.3	-21.4	139.0	-13.3	19.3	-64.4
su105301c	su105301	su1l501	AARM	LP-AN-ARM:AE-H	su105301c:AARM	Critical F: 2.6848	0.370540	0.335692	0.293768	4.717998	2.423320	3.507280	97.7	14.3	182.4	-20.0	220.9	65.0
su110402a	su110402	su1l300	ATRM	LP-AN-TRM:AE-H	su110402a:ATRM	Critical F: 3.1059	0.374896	0.337883	0.287220	13.101598	5.790578	10.848825	334.0	-7.7	249.4	35.1	53.3	53.8
su111601a	su111601	su1l404	ATRM	LP-AN-TRM:AE-H	su111601a:ATRM	Critical F: 3.1059	0.393256	0.383379	0.223365	75.612781	0.506965	133.054050	121.5	22.5	208.9	-6.3	284.2	66.6
