tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lat	sample_lithology	sample_lon	sample_type
This study	DSDP Site 522	15-3-028	15-3-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.38	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-031	15-3-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.41	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-035	15-3-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.44	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-038	15-3-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.47	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-041	15-3-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.5	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-044	15-3-044	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.53	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-047	15-3-047	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.56	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-051	15-3-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.61	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-054	15-3-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.63	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-057	15-3-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.66	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-061	15-3-061	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.71	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-064	15-3-064	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.73	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-067	15-3-067	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.76	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-071	15-3-071	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.8	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-075	15-3-075	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.84	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-078	15-3-078	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.87	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-080	15-3-080	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.9	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-083	15-3-083	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.93	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-086	15-3-086	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.96	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-089	15-3-089	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	58.99	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-092	15-3-092	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.02	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-096	15-3-096	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.05	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-098	15-3-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.07	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-101	15-3-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.11	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-104	15-3-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.14	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-107	15-3-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.16	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-109	15-3-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.19	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-112	15-3-112	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.22	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-115	15-3-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.25	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-118	15-3-118	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.28	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-122	15-3-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.31	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-125	15-3-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.34	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-3-129	15-3-129	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	59.38	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-098	16-1-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.47	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-101	16-1-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.51	-27	Not Specified	355	Sediment Layer
